maladies,symptomes,diagnostics,symptomes_clean,overlap_score
Psoriasis,"I have experienced difficulty sleeping due to the itching and discomfort caused by the rash. There are small dents in my nails, which is really concerning.","I'm sorry to hear about your symptoms. Itching and discomfort caused by a rash can definitely interfere with sleep. The presence of small dents in your nails is also concerning. These symptoms could be indicative of a few different conditions. One possibility is a skin condition called eczema, which can cause itching and a rash. Another possibility is a fungal infection, such as ringworm, which can also cause itching and skin changes. Additionally, the presence of dents in your nails could be a sign of a condition called nail pitting, which can be associated with certain autoimmune diseases.   To provide you with appropriate treatment options, it would be helpful to have more information. Are there any other symptoms you are experiencing? How long have you had these symptoms? Have you been exposed to any potential irritants or allergens? Have you tried any over-the-counter remedies?   In the meantime, you can try some self-care measures to alleviate your symptoms. Keep your skin moisturized with a gentle, fragrance-free moisturizer. Avoid scratching the affected areas, as this can worsen the itching and potentially lead to infection. You can also try taking an over-the-counter antihistamine, such as cetirizine or loratadine, to help reduce itching and promote sleep. However, it's important to note that these measures may only provide temporary relief, and it's best to consult with a healthcare professional for a proper diagnosis and treatment plan.",experience difficulty sleep itching pruritus skin itch irritation discomfort cause rash skin eruption dermal rash skin irritation small dent nail concern,1
Psoriasis,"My nails have small dents or pits in them, and they often feel inflammatory and tender to the touch. Even there are minor rashes on my arms.","Based on your description, it is possible that you are experiencing a condition called nail pitting, which is characterized by small dents or pits in the nails. Nail pitting can be associated with various underlying causes, including:  1. Psoriasis: Psoriasis is a chronic autoimmune condition that can affect the skin and nails. Nail pitting is a common feature of psoriasis. Treatment options for psoriasis may include topical corticosteroids, vitamin D analogs, or systemic medications.  2. Eczema: Eczema, also known as atopic dermatitis, can cause inflammation and rashes on the skin, including the arms. In some cases, nail pitting can be associated with eczema. Treatment for eczema may involve moisturizers, topical corticosteroids, or immunomodulators.  3. Alopecia areata: This is an autoimmune condition that causes hair loss, but it can also affect the nails. Nail pitting can be seen in some cases of alopecia areata. Treatment options for alopecia areata may include topical or systemic corticosteroids, topical immunotherapy, or minoxidil.  It is important to note that these are just possible causes, and a proper diagnosis can only be made by a healthcare professional after a thorough evaluation. I recommend consulting with a dermatologist who can examine your nails and skin, and provide you with an accurate diagnosis and appropriate treatment plan.",nail small dent pit feel inflammatory tender touch minor rash skin eruption dermal rash skin irritation arm,1
Psoriasis,"I have been experiencing a skin rash on my arms, legs, and torso for the past few weeks. It is red, itchy, and covered in dry, scaly patches.","Based on your description, it seems like you are experiencing a skin condition called eczema. Eczema is a common inflammatory skin condition that can cause red, itchy, and dry patches on the skin. It can occur on various parts of the body, including the arms, legs, and torso.  To manage eczema, there are a few things you can try:  1. Keep your skin moisturized: Apply a thick, fragrance-free moisturizer to your skin regularly, especially after bathing or showering. This helps to lock in moisture and prevent dryness.  2. Avoid triggers: Identify and avoid any triggers that may worsen your eczema symptoms. Common triggers include certain fabrics, harsh soaps or detergents, stress, and certain foods. Keeping a diary of your symptoms and activities may help you identify potential triggers.  3. Use mild soaps and detergents: Opt for gentle, fragrance-free soaps and detergents that are less likely to irritate your skin.  4. Wear comfortable clothing: Choose loose-fitting, breathable clothing made from soft fabrics like cotton. Avoid wearing rough or scratchy materials that can further irritate your skin.  5. Take shorter showers or baths: Prolonged exposure to hot water can dry out your skin. Limit your bathing time and use lukewarm water instead of hot water.  In addition to these general measures, there are over-the-counter creams and ointments that can help relieve the symptoms of eczema. Look for products that contain ingredients like hydrocortisone, which can help reduce inflammation and itching. However, it is important to note that these products should be used under the guidance of a healthcare professional.  If your symptoms persist or worsen despite these measures, I recommend consulting with a dermatologist for a proper evaluation and personalized treatment plan.",experience skin rash skin eruption dermal rash skin irritation arm leg torso past week red itchy cover dry scaly patch,0
Psoriasis,"The skin on my genitals is red and inflamed. It is often itchy, burning, and uncomfortable. There are rashes on different parts of the body too.","Based on your description, it is possible that you are experiencing a condition called genital dermatitis. Genital dermatitis can cause redness, inflammation, itching, burning, and discomfort in the genital area. It can also cause rashes on other parts of the body.  There are several possible causes for genital dermatitis, including allergic reactions to certain substances such as soaps, detergents, perfumes, or latex. It can also be caused by irritants, such as excessive moisture or friction, or by certain skin conditions like eczema or psoriasis.  To help alleviate your symptoms, I recommend the following:  1. Keep the affected area clean and dry. 2. Avoid using harsh soaps, perfumed products, or irritants in the genital area. 3. Wear loose-fitting, breathable cotton underwear. 4. Avoid scratching the affected area to prevent further irritation. 5. Apply a mild, over-the-counter hydrocortisone cream to the affected area to reduce inflammation and itching. Follow the instructions on the packaging for proper use. 6. If the symptoms persist or worsen, it is advisable to consult a dermatologist for a proper diagnosis and further treatment options.  Please note that this is a general recommendation and may not be suitable for everyone. If your symptoms do not improve or if you have any concerns, it is best to consult a healthcare professional for a proper evaluation and personalized advice.",skin genital red inflame itchy burning uncomfortable rash skin eruption dermal rash skin irritation different part body,0
Psoriasis,"The rash on my skin has spread to other parts of my body, including my chest and abdomen. It is itchy and uncomfortable, and it is often worse at night. I am also facing skin peeling.","Based on the symptoms you described, it is possible that you are experiencing a skin condition called eczema. Eczema is a chronic inflammatory condition that can cause red, itchy, and dry patches on the skin. It can also lead to skin peeling.  To manage your symptoms, I recommend the following:  1. Keep your skin moisturized: Apply a thick, fragrance-free moisturizer to your skin at least twice a day, especially after bathing. This will help to hydrate your skin and reduce itching.  2. Avoid triggers: Identify and avoid any triggers that may worsen your symptoms. Common triggers include certain fabrics, harsh soaps or detergents, extreme temperatures, and stress.  3. Take lukewarm showers: Hot water can further dry out your skin and worsen the itching. Opt for lukewarm showers and avoid scrubbing your skin vigorously.  4. Wear loose-fitting clothing: Choose breathable, cotton clothing that is loose-fitting to prevent irritation and allow your skin to breathe.  5. Use over-the-counter hydrocortisone cream: You can try using an over-the-counter hydrocortisone cream to help reduce inflammation and itching. Apply it sparingly to the affected areas following the instructions on the package.  6. Take antihistamines: Over-the-counter antihistamines can help relieve itching and promote better sleep. However, it is important to consult with a pharmacist or doctor to determine the most suitable antihistamine for you.  If your symptoms persist or worsen despite these measures, I recommend seeking medical attention for further evaluation and management.",rash skin eruption dermal rash skin irritation skin spread part body include chest abdomen itchy uncomfortable bad night face skin peel,0
Psoriasis,My skin is very sensitive and reacts easily to changes in temperature or humidity. I often have to be careful about what products I use on my skin.,"I understand that you have sensitive skin that reacts easily to changes in temperature or humidity. It's important to be cautious about the products you use on your skin to avoid any adverse reactions. I recommend using gentle and hypoallergenic skincare products that are specifically formulated for sensitive skin. Look for products that are free from fragrances, dyes, and harsh chemicals. Additionally, it's a good idea to do a patch test before using any new product on your face or body. Apply a small amount of the product on a small area of your skin and wait for 24 hours to see if any negative reactions occur. If you experience any persistent or severe skin reactions, it's best to consult with a dermatologist for further evaluation and guidance.",skin sensitive react easily change temperature humidity careful product use skin,0
Psoriasis,"There is strange pain in my joints. Also, I have noticed strange peeling of skin in different parts of my body. I am afraid there is something wrong going on with my body.","I'm sorry to hear that you're experiencing joint pain and skin peeling. These symptoms can be caused by various conditions, so it's important to gather more information.  - When did the joint pain start? Is it in multiple joints or just one? - Have you recently injured any of your joints? - Is the skin peeling accompanied by any itching, redness, or rash? - Have you been exposed to any new medications or chemicals? - Do you have any other symptoms such as fever, fatigue, or weight loss?  Without a physical examination, it's difficult to provide a definitive diagnosis. However, joint pain and skin peeling can be associated with conditions such as psoriasis, rheumatoid arthritis, lupus, or an allergic reaction. I recommend you to consult with a healthcare professional who can evaluate your symptoms in detail and provide appropriate treatment options.",strange pain ache discomfort soreness joint notice strange peeling skin different part body afraid wrong go body,4
Psoriasis,"I have noticed that my skin has become more sensitive than it used to be. There is a silver like dusting on my skin, especially on my back and elbows.","I understand that you're experiencing increased skin sensitivity and a silver-like dusting on your skin, particularly on your back and elbows. Based on your description, it is possible that you may be dealing with a condition called psoriasis. Psoriasis is a chronic autoimmune skin disorder characterized by the rapid buildup of skin cells, leading to thick, silvery scales and itchy, dry, and red patches on the skin.  While I cannot provide a definitive diagnosis without a physical examination, there are some over-the-counter treatments that may help alleviate your symptoms. You can try using topical corticosteroids, such as hydrocortisone cream, to reduce inflammation and itching. Additionally, moisturizing creams or ointments containing ingredients like salicylic acid or coal tar can help remove scales and soothe the skin.  It is important to keep in mind that these suggestions are general and may not be suitable for everyone. I recommend consulting with a dermatologist for a proper evaluation and personalized treatment plan. They can prescribe stronger medications, such as prescription-strength corticosteroids, vitamin D analogs, or immunosuppressive drugs, if necessary.  Remember, it's always best to seek professional medical advice for an accurate diagnosis and appropriate treatment.",notice skin sensitive silver like dust skin especially elbow,0
Psoriasis,"I am worried about the constant peeling of the skin on my palm, elbow and knee. I have developed rashes on my arms, which itch if I touch them. All of these are making my life quite discomforting and miserable.","I understand that constant peeling of the skin on your palm, elbow, and knee, along with rashes on your arms, is causing discomfort and making your life miserable. There can be several possible causes for these symptoms. One possibility is a condition called eczema, also known as atopic dermatitis. Eczema is a chronic inflammatory skin condition that can cause dry, itchy, and peeling skin. It often affects the elbows, knees, and palms.  Another possibility is contact dermatitis, which occurs when your skin comes into contact with an irritant or allergen. This can lead to redness, itching, and peeling of the skin. It is important to identify and avoid the trigger that is causing the reaction.  Psoriasis is another condition that can cause peeling skin and rashes. It is a chronic autoimmune disorder that speeds up the growth cycle of skin cells, leading to the formation of thick, red patches with silvery scales.  To provide you with appropriate treatment options, it is important to determine the underlying cause of your symptoms. I recommend consulting with a dermatologist who can evaluate your condition and provide a proper diagnosis. They may prescribe topical corticosteroids, moisturizers, or other medications to alleviate your symptoms.  In the meantime, you can try the following self-care measures to manage your symptoms: - Keep your skin well-moisturized using a gentle, fragrance-free moisturizer. - Avoid scratching or picking at the affected areas to prevent further irritation. - Use mild, fragrance-free soaps and detergents. - Wear loose-fitting, breathable clothing. - Avoid known triggers or irritants that may worsen your symptoms.  Remember, it is important to consult with a dermatologist for a proper diagnosis and personalized treatment plan.",worried constant peeling skin palm elbow knee develop rash skin eruption dermal rash skin irritation arm itch touch make life discomforte miserable,0
Psoriasis,"The rashes on my skin are not healing. Moreover, I have noticed a sudden peeling of the skin, especially the skin on my elbows and knees. I am really worried about this.","I understand your concern about the rashes on your skin and the peeling of the skin on your elbows and knees. There can be several possible causes for these symptoms. It could be due to a skin infection, an allergic reaction, or a skin condition such as eczema or psoriasis. In order to provide you with a more accurate diagnosis and treatment plan, I would need some additional information.  - Have you been exposed to any new substances or allergens recently?  - Have you used any new skincare products or detergents?  - Do you have any other symptoms such as itching, redness, or pain?  - Have you tried any over-the-counter creams or ointments for your rashes?  Please provide me with these details so that I can assist you further.",rash skin eruption dermal rash skin irritation skin heal notice sudden peeling skin especially skin elbow knee worried,0
Psoriasis,"My nails have small dents on them. Even my joints have started to pain severely. There is a silver like dusting on my skin, particularly in my back.","I'm sorry to hear about your symptoms. The small dents on your nails, joint pain, and silver-like dusting on your skin could be indicative of a condition called psoriasis. Psoriasis is a chronic autoimmune disease that affects the skin and joints. It can cause nail changes, such as pitting or dents, along with joint pain and a scaly rash.  While I cannot provide a definitive diagnosis without a physical examination, I can suggest some over-the-counter treatments that may help alleviate your symptoms. One commonly used medication for psoriasis is coal tar-based products, such as T/Gel shampoo or Psoriasin gel. These products can help reduce scaling and itching of the skin.  Additionally, you may consider using topical corticosteroids, such as hydrocortisone cream, to reduce inflammation and relieve joint pain. However, it's important to follow the instructions and consult with a pharmacist before using any medication.  It's also advisable to maintain good skin hygiene, moisturize regularly, and avoid triggers that may worsen your symptoms, such as stress, certain medications, or skin injuries.  If your symptoms persist or worsen, I recommend consulting with a dermatologist for a proper diagnosis and personalized treatment plan. They can provide you with prescription-strength medications or other therapies tailored to your specific condition.",nail small dent joint start pain ache discomfort soreness severely silver like dust skin particularly,4
Psoriasis,"For the past few weeks, I've had a skin rash on my arms, legs, and chest. It's red and irritating, with dry, scaly spots. I have a strange pain in my joints too.","Based on your description, it seems like you may be experiencing a skin condition called eczema or dermatitis. Eczema can cause red, itchy, and dry patches on the skin, which can appear on the arms, legs, and chest. The joint pain you mentioned could be related to inflammation in the body.  To manage your symptoms, I would recommend the following:  1. Keep your skin moisturized: Apply a thick, fragrance-free moisturizer to your skin regularly to help alleviate dryness and itching. Look for products that contain ingredients like ceramides or hyaluronic acid.  2. Avoid triggers: Try to identify any potential triggers that may be exacerbating your symptoms. These can include certain fabrics, soaps, detergents, or even certain foods. Avoiding these triggers can help prevent flare-ups.  3. Use mild soaps and detergents: Opt for gentle, fragrance-free soaps and detergents that are specifically formulated for sensitive skin. Harsh chemicals and fragrances can further irritate your skin.  4. Wear loose-fitting clothing: Choose loose-fitting, breathable clothing made from natural fibers like cotton. This can help reduce irritation and allow your skin to breathe.  5. Take warm, not hot, showers: Hot water can strip your skin of its natural oils and worsen dryness. Stick to lukewarm water and limit your shower or bath time to avoid further drying out your skin.  As for the joint pain, it is possible that it could be related to inflammation caused by your skin condition. Over-the-counter nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen or naproxen may help alleviate the joint pain. However, if the joint pain persists or worsens, it would be best to consult with a healthcare professional for further evaluation.  Remember, these recommendations are general and may not be suitable for everyone. If your symptoms persist or worsen, or if you develop new symptoms, I recommend seeking medical advice from a healthcare professional for a proper diagnosis and treatment plan.",past week skin rash skin eruption dermal rash skin irritation arm leg chest red irritate dry scaly spot strange pain ache discomfort soreness joint,4
Psoriasis,"My skin is peeling, particularly on my knees, elbows, and scalp. This peeling is frequently accompanied by a stinging or burning feeling.","Based on your description, it seems like you are experiencing skin peeling along with a stinging or burning sensation. There are several possible causes for these symptoms. One common cause is dry skin, which can lead to peeling and discomfort. To alleviate these symptoms, I recommend using a moisturizer that contains ingredients like ceramides or hyaluronic acid. Apply it generously to the affected areas, especially after bathing or showering.  Another possible cause is a condition called psoriasis. Psoriasis is a chronic autoimmune disease that causes the skin cells to multiply rapidly, leading to thick, red patches of skin that can peel and feel sore. If you suspect psoriasis, it would be best to consult a dermatologist for a proper diagnosis and treatment plan. They may prescribe topical corticosteroids or other medications to help manage the symptoms.  In some cases, skin peeling and a burning sensation can be a result of an allergic reaction or irritation. It could be due to a specific product you are using, such as a soap, shampoo, or detergent. I recommend discontinuing the use of any new products and switching to hypoallergenic alternatives. Additionally, you can try using over-the-counter hydrocortisone cream to relieve the discomfort.  If your symptoms persist or worsen despite these measures, I recommend seeking medical attention for a thorough evaluation. A healthcare professional will be able to assess your condition and provide appropriate guidance.",skin peel particularly knee elbow scalp peeling frequently accompany stinging burn feeling,0
Psoriasis,"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints.","Based on your description, it seems like you are experiencing joint pain and discomfort in multiple areas of your body, specifically in your fingers, wrists, and knees. Joint pain can have various causes, including arthritis, injury, overuse, or inflammation. To alleviate your symptoms, you can try the following:  1. Rest and immobilize the affected joints: Avoid activities that aggravate the pain and try to rest the joints as much as possible. Immobilizing the joints with splints or braces may also provide relief.  2. Apply ice or heat: Applying ice packs or cold compresses to the affected joints can help reduce inflammation and numb the area, providing temporary pain relief. Alternatively, you can use heat therapy, such as warm towels or heating pads, to relax the muscles and joints.  3. Over-the-counter pain relievers: Nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen or naproxen, can help reduce pain and inflammation. Follow the recommended dosage instructions and precautions on the package.  4. Gentle exercises and stretches: Engaging in low-impact exercises and gentle stretching can help improve joint flexibility and reduce pain. Consult with a physical therapist for appropriate exercises tailored to your condition.  5. Maintain a healthy weight: Excess weight can put additional stress on your joints, worsening the pain. Maintaining a healthy weight can help alleviate the strain on your joints and reduce discomfort.  If your symptoms persist or worsen, it is important to consult with a healthcare professional for a proper diagnosis and treatment plan. They may recommend further tests or prescribe specific medications, such as analgesics or disease-modifying antirheumatic drugs (DMARDs), depending on the underlying cause of your joint pain.",have joint discomfort finger wrist knee pain ache discomfort soreness frequently ache throb worsen joint,4
